Date,Oil_Price_USD
2010-01-01,72.9
2010-02-01,79.7
2010-03-01,83.8
2010-04-01,86.2
2010-05-01,74.0
2010-06-01,75.6
2010-07-01,78.9
2010-09-01,80.0
2010-10-01,81.4
2010-11-01,84.1
2010-12-01,91.4
2011-01-01,92.2
2011-02-01,97.0
2011-03-01,106.7
2011-04-01,113.9
2011-06-01,95.4
2011-07-01,95.7
2011-08-01,88.8
2011-09-01,79.2
2011-10-01,93.2
2011-11-01,100.4
2011-12-01,98.8
2012-02-01,107.1
2012-03-01,103.0
2012-05-01,86.5
2012-06-01,85.0
2012-08-01,96.5
2012-09-01,92.2
2012-10-01,86.2
2012-11-01,88.9
2012-12-01,91.8
2013-01-01,97.5
2013-02-01,92.1
2013-03-01,97.2
2013-04-01,93.5
2013-05-01,92.0
2013-06-01,96.6
2013-07-01,105.0
2013-08-01,107.7
2013-10-01,96.4
2013-11-01,92.7
2014-01-01,97.5
2014-02-01,102.6
2014-03-01,101.6
2014-04-01,99.7
2014-05-01,102.7
2014-07-01,98.2
2014-08-01,96.0
2014-09-01,91.2
2014-10-01,80.5
2014-11-01,66.2
2014-12-01,53.3
2015-01-01,48.2
2015-04-01,59.6
2015-05-01,60.3
2015-06-01,59.5
2015-07-01,47.1
2015-08-01,49.2
2015-09-01,45.1
2015-10-01,46.6
2015-12-01,37.0
2016-01-01,33.6
2016-02-01,33.8
2016-03-01,38.3
2016-04-01,45.9
2016-06-01,48.3
2016-07-01,41.6
2016-08-01,44.7
2016-09-01,48.2
2016-10-01,46.9
2016-11-01,49.4
2016-12-01,53.7
2017-02-01,54.0
2017-03-01,50.6
2017-04-01,49.3
2017-05-01,48.3
2017-06-01,46.0
2017-07-01,50.2
2017-08-01,47.2
2017-09-01,51.7
2017-11-01,57.4
2017-12-01,60.4
2018-01-01,64.7
2018-02-01,61.6
2018-03-01,64.9
2018-05-01,67.0
2018-06-01,74.2
2018-08-01,69.8
2018-09-01,73.2
2018-10-01,65.3
2018-11-01,50.9
2018-12-01,45.4
2019-01-01,53.8
2019-02-01,57.2
2019-03-01,60.1
2019-04-01,63.9
2019-05-01,53.5
2019-06-01,58.5
2019-07-01,58.6
2019-08-01,55.1
2019-10-01,54.2
2019-11-01,55.2
2020-01-01,51.6
2020-02-01,44.8
2020-04-01,18.8
2020-05-01,35.5
2020-06-01,39.3
2020-07-01,40.3
2020-08-01,42.6
2020-09-01,40.2
2020-10-01,35.8
2020-12-01,48.5
2021-01-01,52.2
2021-02-01,61.5
2021-03-01,59.2
2021-04-01,63.6
2021-05-01,66.3
2021-06-01,73.5
2021-07-01,73.9
2021-09-01,75.0
2021-10-01,83.6
2021-11-01,66.2
2021-12-01,75.2
2022-01-01,88.2
2022-02-01,95.7
2022-03-01,100.3
2022-04-01,104.7
2022-06-01,105.8
2022-07-01,98.6
2022-08-01,89.6
2022-09-01,79.5
2022-10-01,86.5
2022-11-01,80.6
2022-12-01,80.3
2023-02-01,77.1
2023-03-01,75.7
2023-04-01,76.8
2023-05-01,68.1
2023-06-01,70.6
2023-07-01,81.8
2023-08-01,83.6
2023-09-01,90.8
2023-11-01,76.0
2023-12-01,71.7
2024-01-01,75.8
2024-02-01,78.3
2024-03-01,83.2
2024-04-01,81.9
2024-05-01,77.0
2024-06-01,81.5
2024-07-01,77.9
2024-08-01,73.6
2024-10-01,69.3
2024-11-01,68.0
2025-01-01,72.5
2025-02-01,69.8
2025-03-01,71.5
2025-04-01,58.2
2025-05-01,60.8
2025-06-23,74.0
